Title,Slug,Score,Usage,Normalized_Usage,Average_Rating,Normalized_Rating,Bug_Count,Normalized_Bug_Count_Reverse_Scale,Consumption_Link
Kubernetes Engine: Qwik Start,gsp100-kubernetes-engine-qwik-start,2.576400504311904,168242,0.7635320653333152,4.6893421948929435,0.9378684389785887,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP100&Created+Date=this+year+to+second
Dataflow: Qwik Start - Python,gsp207-dataflow-qwik-start-python,1.7463702224139108,24331,0.11042129005613872,4.4297446617888605,0.8859489323577721,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP207&Created+Date=this+year+to+second
Google Cloud Pub/Sub: Qwik Start - Python,gsp094-google-cloud-pub-sub-qwik-start-client-libraries-python,1.7480577216415898,16829,0.07637499035612012,4.608413656427349,0.9216827312854697,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP094&Created+Date=this+year+to+second
Dataprep: Qwik Start,gsp105-dataprep-qwik-start,1.775483312843908,49628,0.22522657444848354,4.626283691977123,0.9252567383954245,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP105&Created+Date=this+year+to+second
HTTP Load Balancer with Cloud Armor,gsp215-http-load-balancer-with-cloud-armor,1.9830833778136405,81339,0.36914049204209726,4.319714428857716,0.8639428857715432,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP215&Created+Date=this+year+to+second
Dataflow: Qwik Start - Templates,gsp192-dataflow-qwik-start-templates,1.8706009594719244,42710,0.19383063985441146,4.633851598087565,0.926770319617513,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP192&Created+Date=this+year+to+second
User Authentication: Identity-Aware Proxy,gsp499-user-authentication-identity-aware-proxy,2.0870123618442706,90466,0.41056152341534036,4.632254192144653,0.9264508384289305,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP499&Created+Date=this+year+to+second
Multiple VPC Networks,gsp211-multiple-vcp-networks,2.0749758039425488,87943,0.39911140156208164,4.629322011902334,0.9258644023804669,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP211&Created+Date=this+year+to+second
Set Up Network and HTTP Load Balancers,gsp007-set-up-network-and-http-load-balancers,2.4304700074297636,140943,0.6396411115195578,4.5791444795510285,0.9158288959102057,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP007&Created+Date=this+year+to+second
Getting Started with Cloud Shell and gcloud,gsp002-getting-started-with-cloud-shell-gcloud,2.537368653548849,162963,0.7395743985622677,4.613971274932906,0.9227942549865812,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP002&Created+Date=this+year+to+second
Creating a Virtual Machine,gsp001-creating-a-virtual-machine,2.553717717101211,220347,1.0,4.643588585506056,0.9287177171012113,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP001&Created+Date=this+year+to+second
Vertex AI Platform: Qwik Start,gsp076-cloud-ml-engine-qwik-start,1.52383662404555,92569,0.42010556077459643,4.268655316354768,0.8537310632709536,5,0.25,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP076&Created+Date=this+year+to+second
Cloud SQL for MySQL: Qwik Start,gsp151-cloud-sql-for-mysql-qwik-start,1.7706295514398611,20461,0.09285808293282867,4.638857342535162,0.9277714685070324,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP151&Created+Date=this+year+to+second
Reinforcement Learning: Qwik Start,gsp691-reinforcement-learning-qwik-start,1.8648265219516353,15310,0.06948131810281057,4.601726019244123,0.9203452038488246,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP691&Created+Date=this+year+to+second
Video Intelligence: Qwik Start,gsp154-video-intelligence-qwik-start,1.8785378694035948,45328,0.20571189986702793,4.614129847682834,0.9228259695365668,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP154&Created+Date=this+year+to+second
Dataproc: Qwik Start - Console,gsp103-dataproc-qwik-start-console,1.9762852365699979,35466,0.1609552206292802,4.7016500797035885,0.9403300159407177,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP103&Created+Date=this+year+to+second
Cloud Natural Language API: Qwik Start,gsp097-cloud-natural-language-api-qwik-start,1.8818810629951945,42394,0.1923965381874952,4.697422624038497,0.9394845248076994,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP097&Created+Date=this+year+to+second
Cloud Endpoints: Qwik Start,gsp164-cloud-endpoints-qwikstart,1.586136923316449,12292,0.0557847395244773,4.526760918959859,0.9053521837919718,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP164&Created+Date=this+year+to+second
Dataproc: Qwik Start - Command Line,gsp104-dataproc-qwik-start-command-line,1.902358184612208,19024,0.08633655098549106,4.705108168133585,0.9410216336267171,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP104&Created+Date=this+year+to+second
Cloud Storage: Qwik Start - CLI/SDK ,gsp074-cloud-storage-qwik-start-cli-sdk,1.8113310763462627,30441,0.13815028114746286,4.615903975993999,0.9231807951987998,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP074&Created+Date=this+year+to+second
Google Cloud Speech API: Qwik Start,gsp119-google-cloud-speech-api-qwik-start,1.8974336125743834,51497,0.23370865044679529,4.56862481063794,0.9137249621275879,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP119&Created+Date=this+year+to+second
Cloud IAM: Qwik Start,gsp064-cloud-iam-qwik-start,2.4430360293998685,167437,0.7598787367198101,4.665786463400293,0.9331572926800586,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP064&Created+Date=this+year+to+second
VPC Networks - Controlling Access,gsp213-vpc-networks-controlling-access,2.1094857637404534,68103,0.30907160070252826,4.627070815189627,0.9254141630379253,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP213&Created+Date=this+year+to+second
Cloud Functions: Qwik Start - Command Line,gsp080-cloud-functions-qwik-start-command-line,1.94785937086876,35360,0.16047416120936522,4.561926048296973,0.9123852096593946,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP080&Created+Date=this+year+to+second
App Engine: Qwik Start - Python,gsp067-app-engine-qwik-start-python,1.740612390010446,18662,0.08469368768351736,4.529593511634643,0.9059187023269286,1,0.75,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP067&Created+Date=this+year+to+second
Create an Internal Load Balancer,gsp216-create-an-internal-load-balancer,1.8982461441585246,84962,0.38558273995107717,4.438317021037237,0.8876634042074475,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP216&Created+Date=this+year+to+second
Container Registry: Qwik Start,gsp084-container-registry-qwik-start,1.7881527244336728,868,0.003939241287605459,4.546067415730337,0.9092134831460674,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP084&Created+Date=this+year+to+second
BigQuery: Qwik Start - Console,gsp072-bigquery-qwik-start-console,1.9588634552334643,31220,0.14168561405419633,4.710889205896339,0.9421778411792678,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP072&Created+Date=this+year+to+second
Explore Machine Learning Models with Explainable AI: Challenge Lab,gsp324-what-if-tool-challenge-lab,1.9523883378050384,44929,0.20390111959772542,4.3674360910365655,0.8734872182073131,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP324&Created+Date=this+year+to+second
Cloud Monitoring: Qwik Start,gsp089-cloud-monitoring-qwik-start,2.0205205506667787,102737,0.4662509587151175,4.646347959758306,0.9292695919516613,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP089&Created+Date=this+year+to+second
Classify Images of Clouds in the Cloud with AutoML Vision,gsp223-classify-images-of-clouds-in-the-cloud-with-automl-vision,1.641743850076197,56237,0.2552201754505394,4.432618373128288,0.8865236746256576,3,0.5,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP223&Created+Date=this+year+to+second
Getting Started with Cloud KMS,gsp079-getting-started-with-cloud-kms,1.9682645019255243,36135,0.16399134093044154,4.646365804975415,0.929273160995083,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP079&Created+Date=this+year+to+second
Creating and Alerting on Logs-based Metrics,gsp091-creating-and-alerting-on-logs-based-metrics,1.4436206114466361,14329,0.06502924932039011,4.39295681063123,0.8785913621262459,3,0.5,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP091&Created+Date=this+year+to+second
Analyzing Natality Data Using Vertex AI and BigQuery,gsp012-analyzing-natality-data-using-datalab-and-bigquery,1.8466375878586703,5862,0.026603493580579722,4.725170471390453,0.9450340942780906,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP012&Created+Date=this+year+to+second
Cloud Composer: Copying BigQuery Tables Across Different Locations,gsp283-cloud-composer-copying-bigquery-tables-across-different-locations,1.681425550059463,35603,0.1615769672380382,4.474242914107124,0.8948485828214248,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP283&Created+Date=this+year+to+second
Continuous Delivery Pipelines with Spinnaker and Kubernetes Engine,gsp114-continuous-delivery-pipelines-with-spinnaker-and-kubernetes-engine,1.7988338536746917,62467,0.28349376211157856,4.451700457815566,0.8903400915631131,2,0.625,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP114&Created+Date=this+year+to+second
 Data Pipeline: Process Stream Data and Visualize Real Time Geospatial Data,gsp439-data-pipeline-differentiating-gcp-managed-services-stream-processing,1.5645865515248787,234,0.0010619613609443286,3.442622950819672,0.6885245901639344,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP439&Created+Date=this+year+to+second
Deploy and Test a Visual Inspection AI Component Anomaly Detection Solution,gsp896-deploy-a-visual-inspection-ai-component-anomaly-detection-solution,1.772707649752436,413,0.0018743164191025972,4.479166666666667,0.8958333333333334,0,0.875,https://qwiklabs.looker.com/dashboards/1227?Slug+Tag=GSP896&Created+Date=this+year+to+second
